,index,Released,English title,TMDB_id
472,14,1993-04-23,Indian Summer,33506
473,16,1993-04-23,Who's the Man?,25925
474,18,1993-04-30,The Night We Never Met,41661
475,20,1993-04-30,Three of Hearts,5187
476,22,1993-05-07,Dave,11566
477,23,1993-05-07,Dragon: The Bruce Lee Story,10423
478,24,1993-05-07,Much Ado About Nothing,11971
479,26,1993-05-08,Daybreak,47945
480,28,1993-05-14,Excessive Force,24227
481,29,1993-05-14,Lost in Yonkers,27224
482,30,1993-05-14,Posse,36233
483,31,1993-05-21,Hot Shots! Part Deux,9255
484,32,1993-05-21,Sliver,867
485,33,1993-05-26,Menace II Society,9516
486,34,1993-05-28,Cliffhanger,9350
487,39,1993-05-28,Super Mario Bros.,9607
488,40,1993-06-04,Guilty as Sin,4916
489,41,1993-06-04,Life with Mikey,42580
490,46,1993-06-11,Jurassic Park,329
491,47,1993-06-18,Last Action Hero,9593
492,48,1993-06-18,Once Upon a Forest,33539
493,50,1993-06-25,House of Cards,47095
494,53,1993-06-26,Extreme Justice,103201
495,2,1993-07-02,Son-in-Law,13203
496,5,1993-07-09,Weekend at Bernie's II,8494
497,7,1993-07-16,Free Willy,1634
498,8,1993-07-16,Hocus Pocus,10439
499,10,1993-07-23,Coneheads,9612
500,11,1993-07-23,Poetic Justice,8291
501,12,1993-07-28,Robin Hood: Men in Tights,8005
502,13,1993-07-30,Rising Sun,7007
503,14,1993-07-30,So I Married an Axe Murderer,10442
504,16,1993-08-06,The Fugitive,5503
505,17,1993-08-06,The Meteor Man,11244
506,18,1993-08-06,My Boyfriend's Back,31503
507,22,1993-08-13,Heart and Souls,12187
508,23,1993-08-13,Jason Goes to Hell: The Final Friday,10285
509,24,1993-08-13,The Secret Garden,11236
510,26,1993-08-20,The Ballad of Little Jo,71940
511,28,1993-08-20,King of the Hill,34024
512,30,1993-08-20,Wilder Napalm,55950
513,31,1993-08-21,Strapped,26479
514,32,1993-08-25,The Man Without a Face,10502
515,33,1993-08-27,Father Hood,65137
516,34,1993-08-27,Needful Things,10657
517,35,1993-08-27,Only the Strong,15797
518,36,1993-08-27,Son of the Pink Panther,46828
519,37,1993-08-27,The Thing Called Love,27804
520,38,1993-09-03,Calendar Girl,117553
521,41,1993-09-08,The Joy Luck Club,19931
522,42,1993-09-10,Money for Nothing,55448
523,43,1993-09-10,The Real McCoy,2047
524,45,1993-09-10,Undercover Blues,12661
525,46,1993-09-11,And the Band Played On,2887
526,47,1993-09-15,Household Saints,119907
527,49,1993-09-17,Airborne,13064
528,51,1993-09-17,Striking Distance,11074
529,53,1993-09-24,Dazed and Confused,9571
530,54,1993-09-24,The Good Son,9272
531,55,1993-09-24,The Program,18133
532,0,1993-10-01,Cool Runnings,864
533,1,1993-10-01,For Love or Money,9024
534,4,1993-10-01,M. Butterfly,1413
535,6,1993-10-08,Deadfall,33927
536,7,1993-10-08,Demolition Man,9739
537,8,1993-10-08,Gettysburg,10655
538,9,1993-10-08,Mr. Jones,2625
539,11,1993-10-15,The Beverly Hillbillies,11041
540,12,1993-10-15,Fearless,10443
541,13,1993-10-15,Judgment Night,6
542,14,1993-10-15,Mr. Wonderful,31911
543,18,1993-10-29,Fatal Instinct,26141
544,20,1993-10-30,The Last Outlaw,20333
545,21,1993-11-05,Flesh and Bone,18551
546,22,1993-11-05,A Home of Our Own,78133
547,23,1993-11-05,Look Who's Talking Now,11982
548,26,1993-11-05,The Remains of the Day,1245
549,27,1993-11-10,Carlito's Way,6075
550,28,1993-11-12,Ernest Rides Again,34300
551,29,1993-11-12,My Life,41659
552,34,1993-11-19,Addams Family Values,2758
553,36,1993-11-19,Man's Best Friend,41759
554,37,1993-11-24,Josh and S.A.M.,48706
555,38,1993-11-24,Mrs. Doubtfire,788
556,39,1993-11-24,The Nutcracker,73191
557,40,1993-11-24,A Perfect World,9559
558,41,1993-11-24,We're Back! A Dinosaur's Story,18890
559,42,1993-11-27,Full Eclipse,78239
560,45,1993-12-05,Hollyrock-a-Bye Baby,342708
561,46,1993-12-08,Six Degrees of Separation,23210
562,47,1993-12-10,Geronimo: An American Legend,35588
563,49,1993-12-10,Wayne's World 2,8873
564,51,1993-12-15,Schindler's List,424
565,54,1993-12-17,What's Eating Gilbert Grape,1587
566,55,1993-12-17,Wrestling Ernest Hemingway,40509
567,56,1993-12-22,Philadelphia,9800
568,57,1993-12-25,Batman: Mask of the Phantasm,14919
569,58,1993-12-25,Grumpy Old Men,11520
570,59,1993-12-25,Heaven & Earth,31642
571,60,1993-12-25,Shadowlands,10445
572,61,1993-12-25,Tombstone,11969
573,0,1994-01-07,The Air Up There,46094
574,1,1994-01-07,Cabin Boy,26391
575,3,1994-01-14,Iron Will,24767
576,4,1994-01-21,Intersection,46717
577,7,1994-01-28,"Car 54, Where Are You?",31395
578,9,1994-02-04,Ace Ventura: Pet Detective,3049
579,11,1994-02-04,I'll Do Anything,106143
580,12,1994-02-04,My Father the Hero,10486
581,15,1994-02-11,Blank Check,13962
582,16,1994-02-11,The Getaway,2087
583,17,1994-02-11,My Girl 2,11317
584,19,1994-02-18,Blue Chips,19819
585,20,1994-02-18,On Deadly Ground,9624
586,21,1994-02-18,Reality Bites,2788
587,22,1994-02-25,8 Seconds,18069
588,24,1994-02-25,Sugar Hill,39349
589,25,1994-03-04,Angie,83714
590,26,1994-03-04,The Chase,10694
591,27,1994-03-04,China Moon,26337
592,28,1994-03-04,Greedy,12778
593,29,1994-03-04,Sirens,12519
594,30,1994-03-09,Four Weddings and a Funeral,712
595,31,1994-03-11,Guarding Tess,6472
596,32,1994-03-11,The Hudsucker Proxy,11934
597,33,1994-03-11,Lightning Jack,22317
598,35,1994-03-11,The Silence of the Hams,10450
599,37,1994-03-18,Monkey Trouble,41582
600,39,1994-03-18,The Paper,12280
601,41,1994-03-25,D2: The Mighty Ducks,11164
602,42,1994-03-26,Against the Wall,31619
603,43,1994-03-29,Class of 1999 II: The Substitute,61954
604,44,1994-03-30,Jimmy Hollywood,31643
605,45,1994-03-30,Major League II,11067
606,0,1994-04-01,Clifford,2778
607,2,1994-04-08,Holy Matrimony,2348
608,3,1994-04-08,Leprechaun 2,18009
609,5,1994-04-08,Threesome,10635
610,7,1994-04-13,Serial Mom,11592
611,9,1994-04-15,Cops & Robbersons,26261
612,10,1994-04-15,Surviving the Game,17585
613,11,1994-04-15,White Fang 2: Myth of the White Wolf,43643
614,12,1994-04-22,Bad Girls,11853
615,13,1994-04-22,Brainscan,14237
616,14,1994-04-22,Chasers,24405
617,15,1994-04-22,The Inkwell,59930
618,16,1994-04-29,The Favor,50463
619,17,1994-04-29,No Escape,10447
620,18,1994-04-29,PCU,14425
621,19,1994-04-29,When a Man Loves a Woman,10449
