,index,English title,Released,TMDB_id
406,63,Super Star,2012-06-07,711928
407,65,The Heaven is Only Open to the Single!,2012-06-21,477656
408,68,The Suck Up Project: Mr. XXX-Kisser,2012-06-21,165049
409,69,Two Weddings and a Funeral,2012-06-21,133605
410,70,Deranged,2012-07-05,121491
411,74,The Sleepless,2012-07-12,133989
412,75,Venus in Furs,2012-07-12,139260
413,76,A Millionaire on the Run,2012-07-19,138058
414,78,Horror Stories,2012-07-25,133985
415,79,Padak,2012-07-25,133248
416,80,The Thieves,2012-07-25,124157
417,81,An Escalator in World Order,2012-07-26,417197
418,82,Seo Taiji Record of the 8th - 398,2012-07-27,792573
419,85,The Grand Heist,2012-08-08,132711
420,86,I Am the King,2012-08-08,138713
421,87,Pengi and Sommi,2012-08-08,262189
422,89,The Neighbor,2012-08-22,133601
423,93,Project 577,2012-08-30,133595
424,94,The Ugly Duckling,2012-08-30,474274
425,95,Young Gun in the Time,2012-08-30,134273
426,96,Grape Candy,2012-09-06,146083
427,98,Wedding Scandal,2012-09-06,133146
428,99,Han Kyung-jik,2012-09-13,418714
429,100,Masquerade,2012-09-13,133200
430,101,Too Old Hiphop Kid,2012-09-13,486383
431,102,The Spies,2012-09-20,133983
432,103,Jinsuk & Me,2012-09-27,467786
433,104,Ghost Sweepers,2012-10-03,142284
434,105,A Company Man,2012-10-11,134126
435,107,Hanaan,2012-10-11,146817
436,109,Star,2012-10-11,622825
437,110,Bittersweet Joke,2012-10-18,415164
438,111,The Great Flight,2012-10-18,467016
439,112,INFINITE Concert Second Invasion Evolution The Movie 3D,2012-10-18,1137214
440,114,Perfect Number,2012-10-18,138665
441,115,Remembrance of MB,2012-10-18,334311
442,117,Almost Che,2012-10-25,139350
443,120,A House with a View,2012-10-25,226327
444,121,Open to You,2012-10-25,322535
445,122,The Peach Tree,2012-10-31,140375
446,123,A Werewolf Boy,2012-10-31,128246
447,124,Dirty Blood,2012-11-01,159702
448,125,The Window,2012-11-01,243619
449,126,Confession of Murder,2012-11-08,140212
450,127,Modern Family,2012-11-08,686911
451,128,Touch,2012-11-08,140629
452,129,Code Name: Jackal,2012-11-15,159230
453,130,Going South,2012-11-15,239647
454,131,Natural Burials,2012-11-15,322534
455,132,"Suddenly, Last Summer",2012-11-15,240041
456,133,White Night,2012-11-15,141032
457,134,The Winter of the Year Was Warm,2012-11-15,188594
458,135,"All Bark, No Bite",2012-11-22,141242
459,136,Don't Cry Mommy,2012-11-22,146371
460,137,In Between,2012-11-22,391614
461,139,National Security,2012-11-22,162146
462,140,Turn It Up to Eleven 2: Wild Days,2012-11-22,489977
463,142,26 Years,2012-11-29,140380
464,143,Knock,2012-11-29,255250
465,144,Tone-deaf Clinic,2012-11-29,155277
466,145,Ari Ari The Korean Cinema,2012-12-06,416728
467,146,My PS Partner,2012-12-06,171587
468,147,Paradox Circle,2012-12-06,435399
469,149,China Blue,2012-12-13,220445
470,150,Love 911,2012-12-19,146724
471,151,Marrying the Mafia 5: Return of the Family,2012-12-19,249826
472,0,A Boy's Sister,2013-01-03,154031
473,1,"Moksha: The World or I, How Does That Work?",2013-01-03,464140
474,2,Ohayo Sapporo,2013-01-03,353588
475,3,Man on the Edge,2013-01-09,181647
476,4,A Wonderful Moment,2013-01-09,154381
477,6,Horny Family,2013-01-17,220265
478,7,Miracle in Cell No. 7,2013-01-23,158445
479,9,Sea of Butterflies,2013-01-24,467790
480,10,The Berlin File,2013-01-30,160704
481,11,The Etudes of Love,2013-01-31,466749
482,18,Goodbye Homerun,2013-02-14,414084
483,19,How to Use Guys with Secret Tips,2013-02-14,189150
484,20,An Ethics Lesson,2013-02-21,172716
485,21,New World,2013-02-21,165213
486,22,Sunshine Boys,2013-02-21,154505
487,23,Behind the Camera,2013-02-28,172723
488,24,Nobody's Daughter Haewon,2013-02-28,160075
489,26,Jury,2013-03-07,204319
490,28,Beautiful Miss Jin,2013-03-14,160581
491,29,My Paparotti,2013-03-14,189081
492,30,When Winter Screams,2013-03-14,204313
493,31,Your Time Is Up,2013-03-14,790039
494,33,"Eating, Talking, Faucking",2013-03-21,288320
495,35,A Journey with Korean Masters,2013-03-21,471255
496,36,Very Ordinary Couple,2013-03-21,180252
497,37,Following Sand River,2013-03-28,486386
498,38,Good Friends,2013-03-28,288322
499,39,Jeju Prayer,2013-04-03,481537
500,41,In My End Is My Beginning,2013-04-04,238677
501,43,Fists of Legend,2013-04-10,180651
502,45,Azooma,2013-04-18,137547
503,46,Fetus 3D,2013-04-18,984745
504,49,Dream Affection 2,2013-04-24,431912
505,50,One Perfect Day,2013-04-30,193696
506,51,Born to Sing,2013-05-01,198618
507,52,Boomerang Family,2013-05-09,193689
508,54,Dear Dolphin,2013-05-16,193709
509,55,Happiness for Sale,2013-05-16,196833
510,56,Montage,2013-05-16,195276
511,57,Where Are to Go?,2013-05-16,466867
512,59,Forest Dancing,2013-05-23,417229
513,62,El Condor Pasa,2013-05-30,322671
514,63,Farewell,2013-05-30,418497
515,64,Rockin' on Heaven's Door,2013-05-30,250942
516,66,Horror Stories 2,2013-06-05,199771
517,67,"Secretly, Greatly",2013-06-05,199584
518,69,Miss Cherry's Love Puzzle,2013-06-06,422969
519,71,You Are More Than Beautiful,2013-06-13,140981
520,74,The Puppet,2013-06-20,260085
521,75,"Cheer Up, Mr. Lee",2013-06-27,204311
522,76,Killer Toon,2013-06-27,204260
523,77,Cold Eyes,2013-07-03,204553
524,78,48m,2013-07-04,375448
525,79,Big Good,2013-07-11,134020
526,80,Kong's Family,2013-07-11,288331
527,81,Pluto,2013-07-11,133964
528,82,Super Fish - An Endless Adventure,2013-07-11,373634
529,83,Mr. Go,2013-07-17,207052
530,84,We Were There,2013-07-18,467015
531,85,District 820,2013-07-25,417176
532,86,The Ring of Life,2013-07-25,474846
533,87,The Terror Live,2013-07-31,209764
534,88,Young Mother,2013-07-31,218746
535,89,Snowpiercer,2013-08-01,110415
536,90,Yellow Hair - Plastic Sex,2013-08-01,703461
537,94,The Flu,2013-08-14,200085
538,95,Hide and Seek,2013-08-14,214209
539,96,Let's Go to Rose Motel,2013-08-14,464026
