,Released,English title,Genre,Score,Popularity,Overview,Or_lan,Actor_1_name,Actor_1_popu,Actor_2_name,Actor_2_popu,Actor_3_name,Actor_3_popu
54,2014-07-03,Desert Dancer, Drama Music,6.9,8.4,"Inspirational true story of Iranian dancer Afshin Ghaffarian, who risked his life for his dream to become a dancer despite a nationwide dancing ban.",en,Freida Pinto,27.309,Reece Ritchie,18.007,Tom Cullen,13.493
55,2014-07-11,Ramanujan, Drama History,6.6,5.984,A prodigious Indian mathematician has to overcome poverty and prejudices and make a mark with the help of his British mentor.,ta,Abhinay Vaddi,2.099,Suhasini Maniratnam,6.604,Kevin McGowan,0.98
56,2014-08-01,Get on Up, Drama Music,6.762,22.432,A chronicle of James Brown's rise from extreme poverty to become one of the most influential musicians in history.,en,Chadwick Boseman,34.747,Nelsan Ellis,16.653,Dan Aykroyd,39.962
57,2014-08-06,The Inbetweeners 2, Comedy,6.17,20.13,"Neil, Will and Simon receive an invite from Jay to join him in Australia whilst on his gap year, who promises them it’s ”the sex capital of the world”. With their lives now rather dull compared to their hedonistic school days and legendary lads holiday, it’s an offer they can’t refuse. Once again, they put growing up temporarily on-hold, and embark on a backpacking holiday of a lifetime in an awful car, inspired by Peter Andre’s ‘Mysterious Girl’. Will soon finds himself battling with the lads to do something cultural, whilst they focus their attention on drinking, girls, and annoying fellow travelers.",en,Simon Bird,21.05,James Buckley,20.846,Blake Harrison,8.989
58,2014-08-22,The Forgotten, Horror Thriller,5.8,2.305,"Strange noises from the apartment next door wake up Tommy, and one morning his mattress has been dragged to the shared wall. Soon he must confront his father's disturbing behaviour while battling an unseen force raging next door.",en,Shaun Dingwall,22.357,Clem Tibber,3.018,Elarica Johnson,16.716
59,2014-08-22,The Last Showing, Thriller,5.319,6.832,A couple trapped in a cinema are manipulated into becoming unwilling actors in a film being captured by CCTV cameras.,en,Robert Englund,19.086,Finn Jones,12.945,Emily Berrington,8.934
60,2014-08-22,The Prince, Thriller Action,4.9,32.026,A family man who turns out to be a retired mob enforcer must travel across the country to find his daughter who has gone missing.,en,Bruce Willis,72.499,Jason Patric,36.433,John Cusack,45.313
61,2014-08-23,The Sleeping Room, Horror,3.333,7.321,"In an old building, Bill and Blue, a call girl, discover a mutoscope and a secret room that is key to unlocking a dark secret related to Blue's family.",en,Leila Mimmack,4.092,Joseph Beattie,7.76,Julie Graham,27.705
62,2014-08-27,The November Man, Crime Action Thriller,6.115,49.213,An ex-CIA operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level CIA officials and the Russian president-elect.,en,Pierce Brosnan,40.28,Luke Bracey,20.362,Olga Kurylenko,32.58
63,2014-09-04,The Dead Lands, Adventure Action,6.071,10.75,"Hongi, a Maori chieftain’s teenage son, must avenge his father’s murder in order to bring peace and honour to the souls of his loved ones after his tribe is slaughtered through an act of treachery. Vastly outnumbered by a band of villains led by Wirepa, Hongi’s only hope is to pass through the feared and forbidden “Dead Lands” and forge an uneasy alliance with a mysterious warrior, a ruthless fighter who has ruled the area for years.",mi,James Rolleston,8.18,Lawrence Makoare,13.264,Te Kohe Tuhaka,2.82
64,2014-09-06,The Face of an Angel, Drama Thriller,5.1,12.758,Both a journalist and a documentary filmmaker chase the story of a murder and its prime suspect.,en,Daniel Brühl,32.248,Kate Beckinsale,108.541,Cara Delevingne,28.492
65,2014-09-07,Miss Julie, Drama Romance,5.6,11.276,"Over the course of a midsummer night in Fermanagh in 1890, an unsettled daughter of the Anglo-Irish aristocracy encourages her father's valet to seduce her.",en,Jessica Chastain,41.332,Colin Farrell,63.504,Samantha Morton,22.624
66,2014-09-08,The Mirror, Horror,4.3,6.336,"There is a long-held belief that mirrors act as gateways to another dimension. ·Some also believe the looking glass plays host to a world filled with evil spirits. Such superstition has been the basis for ancient folklore legends about haunting and possession. And one tale about a supposedly haunted mirror was picked up by the media in 2012. Both the Daily Mail and Huffington Post reported on how the owners of a recently purchased antique mirror left them dogged by bad luck, financial misery, strange sightings and death-defying illness. Now writer/director Edward Boase brings that horrifying story to the screen starring Jemma Dallender (I SPIT ON YOUR GRAVE 2), Joshua Dickinson and Nate Fallows (‘Whitechapel’) as flatmates who buy the same eerie antique on ebay and set up round the clock cameras in the hopes of capturing evidence of bumps in the night. You have been warned!",en,Jemma Dallender,13.004,Joshua Dickinson,3.037,Nate Fallows,0.75
67,2014-09-10,One Night in Istanbul, Comedy,4.875,4.061,"Two down on their luck Liverpool cabbies, Tommy and Gerry, strike an unusual deal with a local gangster to take their sons on a trip of a lifetime, to watch their beloved football team play in the European Cup Final in Istanbul. Hoping to use the trip as a chance to bond with their sons, big trouble awaits them in the form of a sexy hotel chambermaid, two ruthless crooks on a mission and a bag of counterfeit cash.  It is 3-0 down at half time and things could not be more desperate both on and off the pitch. Stevie G and the boys in red are trying to launch the most amazing football comeback in history, and Tommy is in deep water, being held hostage. With the clock ticking and time running out, a miracle is needed fast. In the end a bit of faith, and Gerry’s lucky underpants may be the only thing that can get them and the cup back home in one piece.",en,Steven Waddington,16.149,Lucien Laviscount,14.099,Paul Barber,14.371
68,2014-09-19,Outpost 37, Thriller Action Science Fiction,5.199,25.054,A documentary crew follows an elite unit of soldiers in the wake of an alien invasion.,en,Joe Reegan,8.181,Matthew Holmes,8.961,Rick Ravanello,7.356
69,2014-09-19,The Riot Club, Drama,5.924,24.681,Two first-year students at Oxford University join a secret society and learn that their reputations can be made or destroyed over the course of one evening.,en,Max Irons,29.363,Sam Claflin,43.142,Douglas Booth,20.938
70,2014-09-26,What We Did on Our Holiday, Comedy,6.7,22.662,"Doug and Abi  and their three children travel to the Scottish Highlands for Doug's father Gordie's birthday party. It's soon clear that when it comes to keeping a secret under wraps from the rest of the family, their children are their biggest liability...",en,David Tennant,47.235,Rosamund Pike,68.542,Billy Connolly,28.449
